Date,Open,High,Low,Close,Adj Close
2/20/2019,2537.939941,2544.620117,2526.810059,2527.459961,2527.459961
2/21/2019,2518.120117,2526.139893,2506.459961,2514.810059,2514.810059
2/22/2019,2523.840088,2535.5,2522.780029,2525.76001,2525.76001
2/25/2019,2534.169922,2534.899902,2509.459961,2511.22998,2511.22998
2/26/2019,2501.320068,2524.179932,2492.110107,2493.070068,2493.070068
2/27/2019,2497.409912,2519.419922,2482.449951,2516.75,2516.75
2/28/2019,2518.110107,2519.350098,2492,2496.550049,2496.550049
3/1/2019,2494.679932,2500.719971,2463.25,2481.330078,2481.330078
3/4/2019,2520.560059,2520.560059,2477.469971,2499.699951,2499.699951
3/5/2019,2509.379883,2514.060059,2498.800049,2509.610107,2509.610107
3/6/2019,2514.310059,2514.310059,2484.01001,2487.709961,2487.709961
3/7/2019,2493.01001,2507.169922,2476.5,2499.310059,2499.310059
3/8/2019,2478.149902,2504.76001,2467.100098,2503.419922,2503.419922
3/11/2019,2510.219971,2523.050049,2499.459961,2521.139893,2521.139893
3/12/2019,2521.139893,2554.159912,2521.139893,2545.459961,2545.459961
3/13/2019,2557.76001,2568.26001,2553.129883,2559.909912,2559.909912
3/14/2019,2573.340088,2573.340088,2550.169922,2554,2554
3/15/2019,2549.75,2558.76001,2541.75,2553.429932,2553.429932
3/18/2019,2558.580078,2579.189941,2554.909912,2575.409912,2575.409912
3/19/2019,2574.350098,2585.590088,2545.27002,2550.699951,2550.699951
3/20/2019,2547.22998,2576.929932,2530.719971,2558.139893,2558.139893
3/21/2019,2547.709961,2571.48999,2547.709961,2568.639893,2568.639893
3/22/2019,2557.320068,2560.050049,2511.969971,2518.949951,2518.949951
3/25/2019,2512.52002,2525.22998,2500.620117,2511.850098,2511.850098
3/26/2019,2517.25,2540.199951,2517.030029,2532.23999,2532.23999
3/27/2019,2534.699951,2536.090088,2505.610107,2509.419922,2509.419922
3/28/2019,2511.929932,2524.120117,2499.709961,2514.98999,2514.98999
3/29/2019,2541.550049,2550.120117,2528.300049,2543.620117,2543.620117
4/1/2019,2556.439941,2564.389893,2539.26001,2548.23999,2548.23999
4/2/2019,2551.52002,2551.52002,2528.629883,2544.379883,2544.379883
4/3/2019,2544.379883,2552.649902,2521.100098,2524.709961,2524.709961
4/4/2019,2524.48999,2541.040039,2520.02002,2541,2541
4/5/2019,2545.27002,2557.649902,2545.090088,2555.530029,2555.530029
4/8/2019,2563.550049,2583.050049,2561.719971,2583.01001,2583.01001
4/9/2019,2585.02002,2585.02002,2561.300049,2569.179932,2569.179932
4/10/2019,2565.179932,2600.610107,2564.929932,2595.300049,2595.300049
4/11/2019,2587.379883,2601.97998,2582.370117,2595.820068,2595.820068
4/12/2019,2619.389893,2619.889893,2599.290039,2601.530029,2601.530029
4/15/2019,2600.610107,2607.02002,2580.810059,2589.060059,2589.060059
4/16/2019,2600.550049,2603.080078,2582.060059,2592.439941,2592.439941
4/17/2019,2600.429932,2603.959961,2590.340088,2598.830078,2598.830078
