Date,Close,Open,High,Low,Vol.,Change %
10/6/2023,57.77,56.83,58.25,55.86,18.35M,0.50%
10/5/2023,57.48,58.39,58.66,57.26,13.04M,-1.86%
10/4/2023,58.57,58.11,58.65,57.31,11.02M,2.22%
10/3/2023,57.3,57.89,58.65,57.12,12.01M,-2.15%
10/2/2023,58.56,58.62,59.64,58.01,12.96M,0.17%
9/29/2023,58.46,58.85,59.33,58.07,10.55M,0.48%
9/28/2023,58.18,57.41,58.46,57.02,11.39M,1.46%
9/27/2023,57.34,59.05,59.57,56.53,19.17M,-2.70%
9/26/2023,58.93,58.3,59.22,58.23,11.11M,0.12%
9/25/2023,58.86,57.54,58.9,57.51,11.49M,1.69%
9/22/2023,57.88,59.02,59.19,57.83,12.76M,-1.26%
9/21/2023,58.62,59.95,60.31,58.61,15.36M,-3.68%
9/20/2023,60.86,62.56,62.62,60.83,11.14M,-2.14%
9/19/2023,62.19,62.1,62.42,61.45,11.45M,-1.19%
9/18/2023,62.94,63.35,63.51,62.75,14.05M,-1.98%
9/15/2023,64.21,64.66,65.73,63.91,21.84M,-0.36%
9/14/2023,64.44,63.89,64.6,63.31,14.56M,2.55%
9/13/2023,62.84,62.81,63.32,62.17,9.43M,0.05%
9/12/2023,62.81,61.88,63.69,61.76,12.22M,1.42%
9/11/2023,61.93,61.73,62.26,61.27,12.28M,1.56%
9/8/2023,60.98,61.58,61.81,60.31,15.37M,-1.09%
9/7/2023,61.65,62,62.09,61.12,12.71M,-1.83%
9/6/2023,62.8,63.12,63.84,62.68,13.62M,-1.47%
9/5/2023,63.74,63.38,64.18,63.03,12.74M,0.27%
9/1/2023,63.57,63.13,63.65,62.73,11.72M,1.70%
8/31/2023,62.51,62.72,63.41,62.45,13.84M,-1.43%
8/30/2023,63.42,62.38,63.47,62.12,12.04M,1.47%
8/29/2023,62.5,61.63,62.74,61.53,11.63M,1.35%
8/28/2023,61.67,61.59,61.96,61.03,10.46M,0.78%
8/25/2023,61.19,60.99,61.6,60.08,11.15M,0.79%
8/24/2023,60.71,61.69,61.92,60.62,12.85M,-1.70%
8/23/2023,61.76,61.28,62.37,60.93,13.11M,1.28%
8/22/2023,60.98,59.92,61.31,59.61,17.36M,2.47%
8/21/2023,59.51,59.46,59.77,58.75,14.13M,0.15%
8/18/2023,59.42,57.39,59.8,57.29,19.04M,1.40%
8/17/2023,58.6,59.01,59.19,58.15,20.62M,-1.81%
8/16/2023,59.68,59.44,60.19,59.26,16.59M,0.35%
8/15/2023,59.47,62.76,62.77,59.4,32.00M,-6.01%
8/14/2023,63.27,62.15,63.44,61.68,22.67M,2.81%
8/11/2023,61.54,62.27,62.5,61.47,12.42M,-1.99%
8/10/2023,62.79,62.6,63.05,62.08,13.12M,1.24%
8/9/2023,62.02,63.1,63.39,61.93,13.79M,-1.85%
8/8/2023,63.19,63.77,63.99,62.49,17.68M,-1.91%
8/7/2023,64.42,63.02,64.75,62.2,23.74M,2.66%
8/4/2023,62.75,64.8,64.97,62.66,25.28M,-2.23%
8/3/2023,64.18,66.7,66.93,64.1,51.39M,-12.32%
8/2/2023,73.2,74.38,74.99,72.5,24.57M,-3.08%
8/1/2023,75.53,76.19,76.28,74.56,14.66M,-0.38%
7/31/2023,75.82,74.9,76.54,74.74,15.66M,2.49%
7/28/2023,73.98,73.04,74.19,72.96,10.19M,2.71%
7/27/2023,72.03,74.33,75.06,71.81,11.84M,-1.91%
7/26/2023,73.43,72.89,73.76,72.41,11.33M,0.64%
7/25/2023,72.96,73.68,74.3,72.94,8.54M,-0.99%
7/24/2023,73.69,73.04,73.97,73.01,8.85M,0.96%
7/21/2023,72.99,72.73,73.62,71.83,25.51M,-0.04%
7/20/2023,73.02,72.82,74.68,72.8,14.22M,-1.62%
7/19/2023,74.22,74.47,75.04,73.9,12.17M,-0.20%
7/18/2023,74.37,73.48,74.41,73.26,11.92M,1.20%
7/17/2023,73.49,72.52,73.78,71.96,13.17M,1.93%
7/14/2023,72.1,72.66,72.98,71.92,12.20M,-0.40%
7/13/2023,72.39,71.37,72.74,71,14.54M,2.55%
7/12/2023,70.59,71.72,71.87,70.28,14.46M,-0.04%
7/11/2023,70.62,69.64,70.73,69.41,14.80M,1.93%
7/10/2023,69.28,66.8,69.36,66.69,14.87M,3.73%
7/7/2023,66.79,66.19,67.66,65.98,12.34M,0.98%
7/6/2023,66.14,67.71,67.85,65.63,17.46M,-3.94%
7/5/2023,68.85,68.04,68.9,67,13.98M,1.10%
7/3/2023,68.1,67.12,68.63,66.84,8.62M,2.05%
6/30/2023,66.73,66.09,66.97,65.75,16.91M,1.32%
6/29/2023,65.86,66.3,67.34,65.62,14.89M,-0.26%
6/28/2023,66.03,66.05,66.48,65.62,15.39M,-0.30%
6/27/2023,66.23,66.87,67.1,65.78,16.37M,-0.32%
6/26/2023,66.44,66.87,67.58,66.41,12.22M,-0.75%
6/23/2023,66.94,67.42,68.16,65.85,27.68M,-2.38%
6/22/2023,68.57,67.52,68.64,67.06,16.87M,0.56%
6/21/2023,68.19,68.94,69.02,67.22,23.91M,-1.02%
6/20/2023,68.89,67.13,69.2,66.78,31.38M,3.70%
6/16/2023,66.43,65.95,67.15,65.22,29.70M,0.88%
6/15/2023,65.85,63.12,66.21,62.63,21.53M,3.54%
